Event,Start time,End time,Priority,Classification
SSH connection attempt,06/12-03:01:06.029000,06/12-03:09:18.336868,0,unknown
ICMP connection attempt,06/12-03:09:23.064895,06/12-03:09:23.067860,0,unknown
SSH connection attempt,06/12-03:09:23.344259,06/12-03:11:38.098185,0,unknown
FTP connection attempt,06/12-03:11:39.465884,06/12-03:11:39.890913,0,unknown
SSH connection attempt,06/12-03:11:40.232542,06/12-03:15:28.084192,0,unknown
ICMP connection attempt,06/12-03:31:11.761076,06/12-03:31:11.763204,0,unknown
SSH connection attempt,06/12-03:40:11.338407,06/12-03:43:51.333543,0,unknown
ICMP connection attempt,06/12-03:47:31.162700,06/12-03:48:06.875955,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:13.771022,06/12-03:56:08.750218,2,Attempted Denial of Service
FTP connection attempt,06/12-03:56:10.177885,06/12-03:56:10.600744,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:56:13.753017,06/12-03:56:38.750084,2,Attempted Denial of Service
FTP connection attempt,06/12-03:56:38.980344,06/12-03:56:38.985208,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:15.706140,06/12-03:55:16.573629,2,Attempted Denial of Service
FTP connection attempt,06/12-03:56:41.977513,06/12-03:56:41.978390,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:17.521112,06/12-03:55:16.533391,2,Attempted Denial of Service
FTP connection attempt,06/12-03:56:42.228378,06/12-03:56:42.279979,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:15.565121,06/12-03:55:16.129519,2,Attempted Denial of Service
FTP connection attempt,06/12-04:12:43.916553,06/12-04:13:40.155981,0,unknown
ICMP connection attempt,06/12-04:17:01.904541,06/12-04:17:01.908177,0,unknown
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-04:17:12.336951,06/12-04:17:12.336951,1,A Network Trojan was Detected
FTP connection attempt,06/12-04:20:53.413089,06/12-04:20:53.865017,0,unknown
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-04:52:13.442657,06/12-04:52:13.442657,1,A Network Trojan was Detected
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:17.561405,06/12-03:55:17.561405,2,Attempted Denial of Service
FTP connection attempt,06/12-04:56:38.834511,06/12-04:56:42.142658,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:16.472764,06/12-05:04:16.488639,2,Attempted Denial of Service
FTP connection attempt,06/12-05:04:43.730541,06/12-05:04:43.734800,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-05:03:51.488803,06/12-05:04:46.488683,2,Attempted Denial of Service
FTP connection attempt,06/12-05:04:46.729494,06/12-05:04:47.030041,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-05:04:21.488663,06/12-05:05:31.488861,2,Attempted Denial of Service
FTP connection attempt,06/12-05:11:39.150834,06/12-05:33:52.106734,0,unknown
SSH connection attempt,06/12-05:40:09.843844,06/12-05:40:09.843844,0,unknown
FTP connection attempt,06/12-05:40:47.208064,06/12-05:40:47.632747,0,unknown
SSH connection attempt,06/12-05:43:49.839087,06/12-05:43:49.839087,0,unknown
FTP connection attempt,06/12-05:56:38.700855,06/12-05:56:42.004379,0,unknown
ICMP connection attempt,06/12-06:00:19.462740,06/12-06:00:19.462740,0,unknown
